Attatai!	ἀτταταῖ ἀτταταῖ.
What ails you?	τί πάσχεις;
Why are you distressed?	τί κάμνεις;
Wretched man, I am perishing!	ἀπόλλυμαι δείλαιος·
The Corinthians, coming out from the bed, are biting me, and devouring my sides, and drinking up my life-blood, and tearing away my flesh, and digging through my vitals, and will annihilate me.	ἐκ τοῦ σκίμποδος δάκνουσί μʼ ἐξέρποντες οἱ Κορίνθιοι, καὶ τὰς πλευρὰς δαρδάπτουσιν καὶ τὴν ψυχὴν ἐκπίνουσιν καὶ τοὺς ὄρχεις ἐξέλκουσιν καὶ τὸν πρωκτὸν διορύττουσιν, καί μʼ ἀπολοῦσιν.
Do not now be very grievously distressed.	μή νυν βαρέως ἄλγει λίαν. καὶ πῶς;
Why, how, when my money is gone, my complexion gone, my life gone, and my slipper gone?	ὅτε μου φροῦδα τὰ χρήματα, φρούδη χροιά, φρούδη ψυχή, φρούδη δʼ ἐμβάς·
And furthermore in addition to these evils, with singing the night-watches, I am almost gone myself. Ho you!	καὶ πρὸς τούτοις ἔτι τοῖσι κακοῖς φρουρᾶς ᾄδων ὀλίγου φροῦδος γεγένημαι.
What are you about?	οὗτος τί ποιεῖς;
Are you not meditating?	οὐχὶ φροντίζεις;
I?	ἐγώ;
Yea, by Neptune!	νὴ τὸν Ποσειδῶ.
And what, pray, have you thought?	καὶ τί δῆτʼ ἐφρόντισας;
Whether any bit of me will be left by the bugs.	ὑπὸ τῶν κόρεων εἴ μού τι περιλειφθήσεται.
You will perish most wretchedly.	ἀπολεῖ κάκιστʼ.
But, my good friend, I have already perished.	ἀλλʼ ὦγάθʼ ἀπόλωλʼ ἀρτίως.
You must not give in, but must wrap yourself up; for you have to discover a device for abstracting, and a means of cheating. Ah me!	οὐ μαλθακιστέʼ ἀλλὰ περικαλυπτέα. ἐξευρετέος γὰρ νοῦς ἀποστερητικὸς κἀπαιόλημʼ.
Would, pray, some one would throw over me a swindling contrivance from the sheep-skins.	οἴμοι τίς ἂν δῆτʼ ἐπιβάλοι ἐξ ἀρνακίδων γνώμην ἀποστερητρίδα;
