english	greek
Wide o’er man my realm extends, and proud the name that I, the goddess Cypris, bear, both in heaven’s courts and ’mongst all those who dwell within the limits of the sea and the bounds of Atlas, beholding the sun-god’s light;	Πολλὴ μὲν ἐν βροτοῖσι κοὐκ ἀνώνυμος, θεὰ κέκλημαι Κύπρις, οὐρανοῦ τ’ ἔσω· ὅσοι τε Πόντου τερμόνων τ’ Ἀτλαντικῶν ναίουσιν εἴσω φῶς ὁρῶντες ἡλίου,
those that respect my power I advance to honour, but bring to ruin all who vaunt themselves at me. For even in the race of gods this feeling finds a home, even pleasure at the honour men pay them.	τοὺς μὲν σέβοντας τἀμὰ πρεσβεύω κράτη, σφάλλω δ’ ὅσοι φρονοῦσιν εἰς ἡμᾶς μέγα. ἔνεστι γὰρ δὴ κἀν θεῶν γένει τόδε· τιμώμενοι χαίρουσιν ἀνθρώπων ὕπο.
And the truth of this I soon will show;	δείξω δὲ μύθων τῶνδ’ ἀλήθειαν τάχα·
for that son of Theseus, born of the Amazon, Hippolytus, whom holy Pittheus taught, alone of all the dwellers in this land of Troezen, calls me vilest of the deities. Love he scorns, and, as for marriage, will none of it;	ὁ γάρ με Θησέως παῖς, Ἀμαζόνος τόκος, Ἱππόλυτος, ἁγνοῦ Πιτθέως παιδεύματα, μόνος πολιτῶν τῆσδε γῆς Τροζηνίας λέγει κακίστην δαιμόνων πεφυκέναι, ἀναίνεται δὲ λέκτρα κοὐ ψαύει γάμων·
but Artemis, daughter of Zeus, sister of Phoebus, he doth honour, counting her the chief of goddesses, and ever through the greenwood, attendant on his virgin goddess, he dears the earth of wild beasts with his fleet hounds, enjoying the comradeship of one too high for mortal ken.	Φοίβου δ’ ἀδελφὴν Ἄρτεμιν, Διὸς κόρην, τιμᾷ, μεγίστην δαιμόνων ἡγούμενος· χλωρὰν δ’ ἀν’ ὕλην παρθένῳ ξυνὼν ἀεὶ κυσὶν ταχείαις θῆρας ἐξαιρεῖ χθονός, μείζω βροτείας προσπεσὼν ὁμιλίας.
’Tis not this I grudge him, no! why should I? But for his sins against me, I will this very day take vengeance on Hippolytus; for long ago I cleared the ground of many obstacles, so it needs but trifling toil.	τούτοισι μέν νυν οὐ φθονῶ· τί γάρ με δεῖ; ἃ δ’ εἰς ἔμ’ ἡμάρτηκε, τιμωρήσομαι Ἱππόλυτον ἐν τῇδ’ ἡμέρᾳ· τὰ πολλὰ δὲ πάλαι προκόψασ’ — οὐ πόνου πολλοῦ με δεῖ.
For as he came one day from the home of Pittheus	ἐλθόντα γάρ νιν Πιτθέως ποτ’ ἐκ δόμων
to witness the solemn mystic rites and be initiated therein in Pandion’s land, Phaedra, his father’s noble wife, caught sight of him, and by my designs she found her heart was seized with wild desire.	σεμνῶν ἐς ὄψιν καὶ τέλη μυστηρίων Πανδίονος γῆν, πατρὸς εὐγενὴς δάμαρ ἰδοῦσα Φαίδρα καρδίαν κατέσχετο ἔρωτι δεινῷ τοῖς ἐμοῖς βουλεύμασιν.
And ere she came to this Troezenian realm,	καὶ πρὶν μὲν ἐλθεῖν τήνδε γῆν Τροζηνίαν,
a temple did she rear to  Cypris hard by the rock of Pallas where it o’erlooks this country, for love of the youth in another land; and to win his love in days to come she called after his name the temple she had founded for the goddess.	πέτραν παρ’ αὐτὴν Παλλάδος, κατόψιον γῆς τῆσδε, ναὸν Κύπριδος ἐγκαθίσατο, ἐρῶσ’ ἔρωτ’ ἔκδημον· Ἱππολύτῳ δ’ ἔπι τὸ λοιπὸν ὠνόμαζ’ ἐνιδρῦσθαι θεάν.
