	to_lang	title	to_id	from_id	from_title	authorid	workid	from_file	to_file	author_genre
urn:cts:greekLit:tlg0003.tlg001	eng	The History of the Grecian War	urn:cts:greekLit:tlg0003.tlg001.perseus-eng4	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.perseus-eng4	Historici/-ae
urn:cts:greekLit:tlg0003.tlg001	eng	History of the Peloponnesian War	urn:cts:greekLit:tlg0003.tlg001.perseus-eng6	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.perseus-eng6	Historici/-ae
urn:cts:greekLit:tlg0003.tlg001	deu	Geschichte des Peloponnesischen Kriegs	urn:cts:greekLit:tlg0003.tlg001.1st1K-ger2	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.1st1K-ger2	Historici/-ae
urn:cts:greekLit:tlg0003.tlg001	deu	Geschichte des Peloponnesischen Kriegs	urn:cts:greekLit:tlg0003.tlg001.1st1K-ger3	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.1st1K-ger3	Historici/-ae
urn:cts:greekLit:tlg0003.tlg001	fre	Histoire de la Guerre du Péloponèse	urn:cts:greekLit:tlg0003.tlg001.1st1K-fre2	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.1st1K-fre2	Historici/-ae
urn:cts:greekLit:tlg0003.tlg001	fre	Histoire de la Guerre du Péloponnése	urn:cts:greekLit:tlg0003.tlg001.1st1K-fre1	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.1st1K-fre1	Historici/-ae
urn:cts:greekLit:tlg0003.tlg001	eng	History of the Peloponnesian War	urn:cts:greekLit:tlg0003.tlg001.1st1K-eng1	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.1st1K-eng1	Historici/-ae
urn:cts:greekLit:tlg0003.tlg001	eng	History of the Peloponnesian War	urn:cts:greekLit:tlg0003.tlg001.1st1K-eng2	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.1st1K-eng2	Historici/-ae
urn:cts:greekLit:tlg0003.tlg001	lat	Historia Belli Peloponnesiaci	urn:cts:greekLit:tlg0003.tlg001.1st1K-lat2	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.1st1K-lat2	Historici/-ae
urn:cts:greekLit:tlg0003.tlg001	ger	Vier Staatsreden aus Thucydides	urn:cts:greekLit:tlg0003.tlg001.1st1K-ger1	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.1st1K-ger1	Historici/-ae
urn:cts:greekLit:tlg0003.tlg001	ger	Die Rede des Perikles für die Gefallenen	urn:cts:greekLit:tlg0003.tlg001.1st1K-ger4	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.1st1K-ger4	Historici/-ae
urn:cts:greekLit:tlg0003.tlg001	ita	La storia di Tucidide	urn:cts:greekLit:tlg0003.tlg001.1st1K-ita1	urn:cts:greekLit:tlg0003.tlg001.perseus-grc2	Ἱστορίαι	tlg0003	tlg001	tlg0003.tlg001.perseus-grc2	tlg0003.tlg001.1st1K-ita1	Historici/-ae
urn:cts:greekLit:tlg0004.tlg001	eng	Lives of Eminent Philosophers	urn:cts:greekLit:tlg0004.tlg001.perseus-eng2	urn:cts:greekLit:tlg0004.tlg001.perseus-grc2	Βίοι καὶ γνῶμαι τῶν ἐν φιλοσοφίᾳ εὐδοκιμησάντων	tlg0004	tlg001	tlg0004.tlg001.perseus-grc2	tlg0004.tlg001.perseus-eng2	Biographi
urn:cts:greekLit:tlg0006.tlg001	eng	The Cyclops	urn:cts:greekLit:tlg0006.tlg001.perseus-eng2	urn:cts:greekLit:tlg0006.tlg001.perseus-grc2	Κύκλωψ	tlg0006	tlg001	tlg0006.tlg001.perseus-grc2	tlg0006.tlg001.perseus-eng2	Tragici
urn:cts:greekLit:tlg0006.tlg002	eng	Alcestis	urn:cts:greekLit:tlg0006.tlg002.perseus-eng2	urn:cts:greekLit:tlg0006.tlg002.perseus-grc2	Ἄλκηστις	tlg0006	tlg002	tlg0006.tlg002.perseus-grc2	tlg0006.tlg002.perseus-eng2	Tragici
urn:cts:greekLit:tlg0006.tlg003	eng	Medea	urn:cts:greekLit:tlg0006.tlg003.perseus-eng2	urn:cts:greekLit:tlg0006.tlg003.perseus-grc2	Μήδεια	tlg0006	tlg003	tlg0006.tlg003.perseus-grc2	tlg0006.tlg003.perseus-eng2	Tragici
urn:cts:greekLit:tlg0006.tlg004	eng	Heracleidae	urn:cts:greekLit:tlg0006.tlg004.perseus-eng2	urn:cts:greekLit:tlg0006.tlg004.perseus-grc2	Ἡρακλεῖδαι	tlg0006	tlg004	tlg0006.tlg004.perseus-grc2	tlg0006.tlg004.perseus-eng2	Tragici
urn:cts:greekLit:tlg0006.tlg005	eng	Hippolytus	urn:cts:greekLit:tlg0006.tlg005.perseus-eng2	urn:cts:greekLit:tlg0006.tlg005.perseus-grc2	Ἱππόλυτος	tlg0006	tlg005	tlg0006.tlg005.perseus-grc2	tlg0006.tlg005.perseus-eng2	Tragici
urn:cts:greekLit:tlg0006.tlg006	eng	Andromache	urn:cts:greekLit:tlg0006.tlg006.perseus-eng2	urn:cts:greekLit:tlg0006.tlg006.perseus-grc2	Ἀνδρομάχη	tlg0006	tlg006	tlg0006.tlg006.perseus-grc2	tlg0006.tlg006.perseus-eng2	Tragici
