metadata	chunk_size	en_wordcount	gr_wordcount
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;0	40.746281908990014	92	51
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;1	40.746281908990014	29	20
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;2	40.746281908990014	64	38
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;3	40.746281908990014	41	27
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;4	40.746281908990014	106	65
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;5	40.746281908990014	41	31
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;6	40.746281908990014	33	21
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;7	40.746281908990014	26	17
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;8	40.746281908990014	88	61
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;9	40.746281908990014	33	21
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;10	40.746281908990014	107	75
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;11	40.746281908990014	77	58
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;12	40.746281908990014	60	37
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;13	40.746281908990014	84	54
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;14	40.746281908990014	96	71
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;15	40.746281908990014	73	43
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;16	40.746281908990014	54	39
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;17	40.746281908990014	33	26
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;18	40.746281908990014	24	16
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;19	40.746281908990014	86	61
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;20	40.746281908990014	45	26
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;21	40.746281908990014	82	57
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;22	40.746281908990014	31	15
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;23	40.746281908990014	122	76
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;24	40.746281908990014	84	60
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;25	40.746281908990014	34	24
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;26	40.746281908990014	57	45
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;27	40.746281908990014	18	13
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;28	40.746281908990014	40	22
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;29	40.746281908990014	173	120
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;30	40.746281908990014	48	24
urn:cts:greekLit:tlg0003.tlg001;Thucydides;The History of the Grecian War;tlg0003.tlg001.perseus-eng4;31	40.746281908990014	102	67
